image,xmin,ymin,xmax,ymax,name,class
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_1.JPG,1859,605,1931,678,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_1.JPG,1631,685,1688,741,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_2.JPG,2007,488,2099,599,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_3.JPG,2182,492,2255,613,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_3.JPG,2199,596,2279,759,5.38,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_4.JPG,2238,402,2348,577,5.12,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_4.JPG,2137,457,2214,591,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_4.JPG,2155,576,2235,749,5.38,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_5.JPG,2046,545,2108,626,4.6.3,Prescriptive_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_5.JPG,1918,698,1978,772,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_5.JPG,1736,664,1786,741,5.12,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_6.JPG,2027,669,2089,754,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_6.JPG,2021,750,2095,803,7.15,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_6.JPG,1794,637,1848,722,5.12,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_6.JPG,2179,490,2240,582,4.6.3,Prescriptive_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_7.JPG,1810,638,1868,707,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_7.JPG,1818,714,1875,746,7.15,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_8.JPG,2153,483,2242,583,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_8.JPG,2172,596,2250,650,7.15,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_9.JPG,1927,630,1980,710,5.12,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_10.JPG,2212,502,2270,590,4.6.3,Prescriptive_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_10.JPG,1480,768,1508,799,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_10.JPG,1482,798,1512,814,7.15,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_10.JPG,939,780,972,811,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_11.JPG,1864,588,1943,671,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_11.JPG,356,642,413,715,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_12.JPG,173,587,224,679,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_12.JPG,2039,500,2131,604,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161551-000056F_12.JPG,1624,727,1661,764,4.6.3,Prescriptive_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_1.JPG,60,479,124,593,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_1.JPG,2267,468,2335,568,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_1.JPG,1815,620,1871,686,3.27,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_1.JPG,1835,683,1870,753,7.2.3,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_1.JPG,1669,678,1717,727,5.15,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_1.JPG,1667,725,1719,755,7.6.1,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_2.JPG,2144,482,2216,577,3.27,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_2.JPG,2177,575,2222,680,7.2.3,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_2.JPG,1846,608,1912,677,5.15,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_2.JPG,1852,673,1916,712,7.6.1,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_3.JPG,1747,709,1789,756,3.27,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_4.JPG,2275,530,2335,614,3.27,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_4.JPG,1632,739,1663,772,3.27,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_5.JPG,1701,584,1765,653,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_5.JPG,1496,713,1541,773,5.12,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_6.JPG,2186,261,2284,390,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_6.JPG,1608,638,1666,723,5.12,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_7.JPG,1890,442,2001,591,5.12,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_8.JPG,620,747,670,801,5.11.1,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_8.JPG,1640,738,1689,767,7.3.1,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_9.JPG,215,672,268,757,5.11.1,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_9.JPG,2041,476,2138,582,5.15,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_9.JPG,2064,581,2150,638,7.3.1,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_10.JPG,1579,752,1644,821,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161851-000057F_11.JPG,2138,496,2269,657,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162151-000058F_1.JPG,1545,697,1610,767,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162151-000058F_1.JPG,1563,762,1613,810,4.1.1,Prescriptive_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162151-000058F_2.JPG,1985,415,2134,584,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162151-000058F_2.JPG,2056,581,2157,700,4.1.1,Prescriptive_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162151-000058F_2.JPG,1982,623,2024,725,3.1,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162151-000058F_2.JPG,1617,750,1651,797,2.4,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162151-000058F_3.JPG,1722,392,1893,571,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162151-000058F_3.JPG,1755,575,1911,726,1.21,Warning_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162451-000059F_1.JPG,1468,598,1557,691,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162451-000059F_1.JPG,1483,687,1557,765,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162451-000059F_2.JPG,1795,272,1978,467,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162451-000059F_2.JPG,1846,467,1999,626,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162451-000059F_2.JPG,1989,448,2072,613,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162451-000059F_3.JPG,1686,542,1760,652,5.41,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162451-000059F_4.JPG,1931,341,2043,507,5.41,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162751-000060F_1.JPG,1489,648,1541,700,3.28,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162751-000060F_2.JPG,1805,299,1924,422,3.28,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162751-000060F_3.JPG,1713,486,1781,549,5.42,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162751-000060F_3.JPG,1722,656,1819,759,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162751-000060F_3.JPG,1520,667,1586,726,2.4,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162751-000060F_4.JPG,1835,366,1975,496,2.4,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162751-000060F_4.JPG,1802,710,1848,806,1.23,Warning_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-162751-000060F_4.JPG,1774,943,1838,1072,4.2.2,Prescriptive_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163648-000062F_1.JPG,1433,700,1490,782,5.43,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163648-000062F_1.JPG,1440,780,1490,832,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163648-000062F_2.JPG,1647,450,1789,636,5.43,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163648-000062F_2.JPG,1670,632,1793,758,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163648-000062F_3.JPG,1001,681,1057,743,5.11.1,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163648-000062F_4.JPG,446,454,553,594,5.11.1,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_1.JPG,1477,694,1557,771,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_2.JPG,1664,500,1821,654,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_3.JPG,1564,638,1669,739,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_3.JPG,7,753,45,830,5.16.1,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_4.JPG,1825,422,2024,616,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_5.JPG,1498,589,1588,667,1.21,Warning_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_5.JPG,1513,668,1583,738,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_6.JPG,1770,332,1925,475,1.21,Warning_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_6.JPG,1794,478,1932,616,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_7.JPG,1579,523,1701,650,5.46,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_7.JPG,1513,690,1570,782,5.12,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_8.JPG,1597,630,1678,751,5.12,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_8.JPG,1780,329,1954,512,5.46,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_9.JPG,1448,775,1520,851,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_10.JPG,1638,650,1789,809,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-163948-000063F_10.JPG,260,475,336,585,5.16.1,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_1.JPG,1518,752,1576,806,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_2.JPG,2238,134,2421,402,5.43,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_2.JPG,2321,398,2451,602,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_3.JPG,1538,717,1594,783,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_4.JPG,1874,526,2004,661,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_4.JPG,1080,788,1104,818,5.11.1,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_5.JPG,1063,820,1126,885,4.2.3,Prescriptive_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_6.JPG,604,754,752,912,4.2.3,Prescriptive_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_7.JPG,1077,697,1136,758,5.11.1,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_8.JPG,1078,698,1134,759,5.11.1,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_9.JPG,1494,612,1565,707,5.43,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_9.JPG,1504,706,1569,772,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_10.JPG,1857,218,2040,448,5.43,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_10.JPG,1923,446,2065,614,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_10.JPG,1329,800,1361,832,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_11.JPG,1515,678,1593,760,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164248-000064F_12.JPG,1970,389,2131,593,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_1.JPG,743,697,798,758,4.1.1,Prescriptive_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_1.JPG,1445,771,1498,824,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_2.JPG,275,506,351,621,4.1.1,Prescriptive_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_2.JPG,1545,703,1620,782,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_3.JPG,1682,694,1741,747,1.21,Warning_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_3.JPG,1576,668,1647,739,5.46,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_4.JPG,2231,450,2325,575,1.21,Warning_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_4.JPG,1957,410,2091,567,5.46,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_5.JPG,1540,732,1623,822,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_5.JPG,1452,713,1492,755,3.27,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_5.JPG,1028,792,1059,826,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_5.JPG,740,659,795,722,5.16.1,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_6.JPG,1729,626,1873,776,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_6.JPG,1515,652,1570,709,3.27,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_6.JPG,960,776,999,813,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_6.JPG,416,532,489,629,5.16.1,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_7.JPG,739,715,791,775,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_7.JPG,1808,337,1921,459,3.27,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_8.JPG,1681,653,1760,747,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_8.JPG,1544,638,1599,695,3.27,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_8.JPG,1562,691,1595,751,7.2.3,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_9.JPG,2127,387,2241,577,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_9.JPG,1745,430,1840,532,3.27,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_9.JPG,1783,531,1844,637,7.2.3,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-164548-000065F_10.JPG,1600,587,1668,656,3.25,Forbidding_sign
